org_id,slug,name,url,headquarters_country,industry,employee_count_int,jobs_count,teams_count,is_it_services,is_professional_services,tags,is_b2b,is_b2c,is_digital_native,is_ai_native,sales-development-representative_people,sales-development-representative_people_link,sales-development-representative_growth_yoy,sales-development-representative_growth_yoy_link,sales_people,sales_people_link,sales_growth_yoy,sales_growth_yoy_link,account-executive_people,account-executive_people_link,account-executive_growth_yoy,account-executive_growth_yoy_link,revenue-operations_people,revenue-operations_people_link,revenue-operations_growth_yoy,revenue-operations_growth_yoy_link,marketing_people,marketing_people_link,marketing_growth_yoy,marketing_growth_yoy_link,gtm-enrichment-and-signals_teams,gtm-enrichment-and-signals_teams_link,account-based-marketing-platforms_teams,account-based-marketing-platforms_teams_link,sales-and-lead-generation-tools_teams,sales-and-lead-generation-tools_teams_link,hightouch_teams,hightouch_teams_link,d-b_teams,d-b_teams_link,generative_ai_x_relevant_tech_jobposts,generative_ai_x_relevant_tech_jobposts_link,generative_ai_x_relevant_persona_jobposts,generative_ai_x_relevant_persona_jobposts_link,digital_transformation_x_relevant_tech_jobposts,digital_transformation_x_relevant_tech_jobposts_link,digital_transformation_x_relevant_persona_jobposts,digital_transformation_x_relevant_persona_jobposts_link,sales-development-representative_pct,sales-development-representative_pct_link,sales_pct,sales_pct_link,account-executive_pct,account-executive_pct_link,revenue-operations_pct,revenue-operations_pct_link,marketing_pct,marketing_pct_link,gtm-enrichment-and-signals_team_pct,gtm-enrichment-and-signals_team_pct_link,account-based-marketing-platforms_team_pct,account-based-marketing-platforms_team_pct_link,sales-and-lead-generation-tools_team_pct,sales-and-lead-generation-tools_team_pct_link,hightouch_team_pct,hightouch_team_pct_link,d-b_team_pct,d-b_team_pct_link,funding_total_raised,funding_last_round_raised,funding_last_round_type,funding_last_round_date,funding_days_since_last_round,crm_account_id,crm_account_name,crm_url,account_category,is_icp_gold,plg_signups,plg_users_4w,plg_queries_4w,ws_fit,ws_fit_reason,ws_filter_provider
852221,11x-ai,11x,11x.ai,US,Professional Services,60,54,13,0,1,digital_native|is_ai_native|is_venture_backed|b2b|professional_services,1,0,1,1,0.0,https://sumble.com/l/org/FuYA181AWOSHj/people,0.0,,7.0,https://sumble.com/l/org/hiUzx9EllDuG5/people,0.167,https://sumble.com/l/org/hiUzx9EllDuG5/trends/job_functions_people,7.0,https://sumble.com/l/org/pZMbqw5tEXAt/people,0.167,https://sumble.com/l/org/pZMbqw5tEXAt/trends/job_functions_people,0.0,https://sumble.com/l/org/Y1pTZCiT3z3Z/people,-1.0,https://sumble.com/l/org/Y1pTZCiT3z3Z/trends/job_functions_people,2.0,https://sumble.com/l/org/CswmQ5RmDRFFG/people,0.0,https://sumble.com/l/org/CswmQ5RmDRFFG/trends/job_functions_people,0.0,https://sumble.com/l/org/Sma5XYTmV40RZ/teams,0.0,https://sumble.com/l/org/fIn6dqHqXpUuZ/teams,0.0,https://sumble.com/l/org/lTVCbSyCf8NYY/teams,0.0,https://sumble.com/l/org/DOPf3v6ePf98I/teams,0.0,https://sumble.com/l/org/7DcRPrlF2RODg/teams,0.0,https://sumble.com/l/org/Y1pTZCiT3zg0W/jobs,0.0,https://sumble.com/l/org/Wzs9kP7VyF5a8/jobs,0.0,https://sumble.com/l/org/AhTWU4ZhJGyCH/jobs,0.0,https://sumble.com/l/org/9NK3FndGOmxAE/jobs,0.0,https://sumble.com/l/org/FuYA181AWOSHj/people,11.667,https://sumble.com/l/org/hiUzx9EllDuG5/people,11.667,https://sumble.com/l/org/pZMbqw5tEXAt/people,0.0,https://sumble.com/l/org/Y1pTZCiT3z3Z/people,3.333,https://sumble.com/l/org/CswmQ5RmDRFFG/people,0.0,https://sumble.com/l/org/Sma5XYTmV40RZ/teams,0.0,https://sumble.com/l/org/fIn6dqHqXpUuZ/teams,0.0,https://sumble.com/l/org/lTVCbSyCf8NYY/teams,0.0,https://sumble.com/l/org/DOPf3v6ePf98I/teams,0.0,https://sumble.com/l/org/7DcRPrlF2RODg/teams,76000000,50000000,series_b,2024-11-11,576,,,11x.ai,unallocated,0,3,1,3,,,
852221,11x-ai,11x,11x.ai,US,Professional Services,60,54,13,0,1,digital_native|is_ai_native|is_venture_backed|b2b|professional_services,1,0,1,1,0.0,https://sumble.com/l/org/FuYA181AWOSHj/people,0.0,,7.0,https://sumble.com/l/org/hiUzx9EllDuG5/people,0.167,https://sumble.com/l/org/hiUzx9EllDuG5/trends/job_functions_people,7.0,https://sumble.com/l/org/pZMbqw5tEXAt/people,0.167,https://sumble.com/l/org/pZMbqw5tEXAt/trends/job_functions_people,0.0,https://sumble.com/l/org/Y1pTZCiT3z3Z/people,-1.0,https://sumble.com/l/org/Y1pTZCiT3z3Z/trends/job_functions_people,2.0,https://sumble.com/l/org/CswmQ5RmDRFFG/people,0.0,https://sumble.com/l/org/CswmQ5RmDRFFG/trends/job_functions_people,0.0,https://sumble.com/l/org/Sma5XYTmV40RZ/teams,0.0,https://sumble.com/l/org/fIn6dqHqXpUuZ/teams,0.0,https://sumble.com/l/org/lTVCbSyCf8NYY/teams,0.0,https://sumble.com/l/org/DOPf3v6ePf98I/teams,0.0,https://sumble.com/l/org/7DcRPrlF2RODg/teams,0.0,https://sumble.com/l/org/Y1pTZCiT3zg0W/jobs,0.0,https://sumble.com/l/org/Wzs9kP7VyF5a8/jobs,0.0,https://sumble.com/l/org/AhTWU4ZhJGyCH/jobs,0.0,https://sumble.com/l/org/9NK3FndGOmxAE/jobs,0.0,https://sumble.com/l/org/FuYA181AWOSHj/people,11.667,https://sumble.com/l/org/hiUzx9EllDuG5/people,11.667,https://sumble.com/l/org/pZMbqw5tEXAt/people,0.0,https://sumble.com/l/org/Y1pTZCiT3z3Z/people,3.333,https://sumble.com/l/org/CswmQ5RmDRFFG/people,0.0,https://sumble.com/l/org/Sma5XYTmV40RZ/teams,0.0,https://sumble.com/l/org/fIn6dqHqXpUuZ/teams,0.0,https://sumble.com/l/org/lTVCbSyCf8NYY/teams,0.0,https://sumble.com/l/org/DOPf3v6ePf98I/teams,0.0,https://sumble.com/l/org/7DcRPrlF2RODg/teams,76000000,50000000,series_b,2024-11-11,576,,,11x.com,allocated,0,3,1,3,,,
1501614,1mind-com,1Mind,1mind.com,GB,Professional Services,77,12,3,0,1,digital_native|b2b|is_venture_backed|professional_services,1,0,1,0,1.0,https://sumble.com/l/org/y8V2aUM8ANx7s/people,0.0,,2.0,https://sumble.com/l/org/89QJtcNanobE8/people,0.0,,1.0,https://sumble.com/l/org/6w4Fu2GR2wtJ/people,0.0,,1.0,https://sumble.com/l/org/tCBNRGs4tLLa/people,0.0,,1.0,https://sumble.com/l/org/G5RdMgAT0ZssI/people,0.0,https://sumble.com/l/org/G5RdMgAT0ZssI/trends/job_functions_people,0.0,https://sumble.com/l/org/QYriBtYFoSHYJ/teams,0.0,https://sumble.com/l/org/rqUmKBvswyWUA/teams,0.0,https://sumble.com/l/org/ZS73rQnq3pZFF/teams,0.0,https://sumble.com/l/org/Nv1CsdDPN2J87/teams,0.0,https://sumble.com/l/org/9rYoCndGOmxA4/teams,0.0,https://sumble.com/l/org/tCBNRGs4tLQWn/jobs,0.0,https://sumble.com/l/org/xPXpZFnWtJotS/jobs,0.0,https://sumble.com/l/org/04weJkkRja49e/jobs,0.0,https://sumble.com/l/org/cntbGAGXWujy2/jobs,1.299,https://sumble.com/l/org/y8V2aUM8ANx7s/people,2.597,https://sumble.com/l/org/89QJtcNanobE8/people,1.299,https://sumble.com/l/org/6w4Fu2GR2wtJ/people,1.299,https://sumble.com/l/org/tCBNRGs4tLLa/people,1.299,https://sumble.com/l/org/G5RdMgAT0ZssI/people,0.0,https://sumble.com/l/org/QYriBtYFoSHYJ/teams,0.0,https://sumble.com/l/org/rqUmKBvswyWUA/teams,0.0,https://sumble.com/l/org/ZS73rQnq3pZFF/teams,0.0,https://sumble.com/l/org/Nv1CsdDPN2J87/teams,0.0,https://sumble.com/l/org/9rYoCndGOmxA4/teams,40000000,30000000,series_a,2025-11-10,212,,,1mind.com,unallocated,0,1,1,45,,,
458350,dassault-systemes,Dassault Systemes Solutions Lab,3ds.com,IN,Scientific and Technical Services,23008,10714,3326,0,0,digital_native|b2b,1,0,1,0,39.0,https://sumble.com/l/org/Wn9BAP7VyFjMv/people,0.054,https://sumble.com/l/org/Wn9BAP7VyFjMv/trends/job_functions_people,1878.0,https://sumble.com/l/org/NBrOzdDPN2C6s/people,0.012,https://sumble.com/l/org/NBrOzdDPN2C6s/trends/job_functions_people,520.0,https://sumble.com/l/org/QogmbtYFoSPO/people,-0.017,https://sumble.com/l/org/QogmbtYFoSPO/trends/job_functions_people,314.0,https://sumble.com/l/org/s0K4TyJ6y1L9/people,0.023,https://sumble.com/l/org/s0K4TyJ6y1L9/trends/job_functions_people,695.0,https://sumble.com/l/org/yk0umUM8ANKKN/people,0.001,https://sumble.com/l/org/yk0umUM8ANKKN/trends/job_functions_people,20.0,https://sumble.com/l/org/1KUA5siV35t9a/teams,0.0,https://sumble.com/l/org/jpaG6esbEtQ8N/teams,9.0,https://sumble.com/l/org/mUycC1erVQT66/teams,0.0,https://sumble.com/l/org/6ejZf2GR2wlmf/teams,0.0,https://sumble.com/l/org/vOqpREAmtk6Il/teams,0.0,https://sumble.com/l/org/s0K4TyJ6y1faH/jobs,0.0,https://sumble.com/l/org/37df9iKLWcp9r/jobs,0.0,https://sumble.com/l/org/9i3DWndGOmxmS/jobs,0.0,https://sumble.com/l/org/dRB637q02zqv2/jobs,0.17,https://sumble.com/l/org/Wn9BAP7VyFjMv/people,8.162,https://sumble.com/l/org/NBrOzdDPN2C6s/people,2.26,https://sumble.com/l/org/QogmbtYFoSPO/people,1.365,https://sumble.com/l/org/s0K4TyJ6y1L9/people,3.021,https://sumble.com/l/org/yk0umUM8ANKKN/people,0.601,https://sumble.com/l/org/1KUA5siV35t9a/teams,0.0,https://sumble.com/l/org/jpaG6esbEtQ8N/teams,0.271,https://sumble.com/l/org/mUycC1erVQT66/teams,0.0,https://sumble.com/l/org/6ejZf2GR2wlmf/teams,0.0,https://sumble.com/l/org/vOqpREAmtk6Il/teams,0,0,,,,,,3ds.com,unallocated,0,0,0,0,,,
9631,6sense,6sense,6sense.com,US,Scientific and Technical Services,1003,837,143,0,0,digital_native|b2b|is_venture_backed,1,0,1,0,27.0,https://sumble.com/l/org/qIFROSTDW5KH/people,0.0,https://sumble.com/l/org/qIFROSTDW5KH/trends/job_functions_people,151.0,https://sumble.com/l/org/abh6pZK3iKiQ/people,-0.25,https://sumble.com/l/org/abh6pZK3iKiQ/trends/job_functions_people,91.0,https://sumble.com/l/org/k8p1HB1JTLt/people,-0.226,https://sumble.com/l/org/k8p1HB1JTLt/trends/job_functions_people,43.0,https://sumble.com/l/org/zdYu3vxxBHO/people,0.0,https://sumble.com/l/org/zdYu3vxxBHO/trends/job_functions_people,47.0,https://sumble.com/l/org/37CWiKLWcPPQ/people,-0.23,https://sumble.com/l/org/37CWiKLWcPPQ/trends/job_functions_people,4.0,https://sumble.com/l/org/nNS4zNbH4FcW/teams,4.0,https://sumble.com/l/org/C1fg5RmDRVp0/teams,10.0,https://sumble.com/l/org/9ilAndGOmxuu/teams,0.0,https://sumble.com/l/org/l5DQSyCf8NhE/teams,0.0,https://sumble.com/l/org/tL7wGs4tLQcD/teams,0.0,https://sumble.com/l/org/zdYu3vxxBtv7/jobs,0.0,https://sumble.com/l/org/ewWqVSiKNDgE/jobs,0.0,https://sumble.com/l/org/2VAvImNxFhbE/jobs,0.0,https://sumble.com/l/org/pX92w5tEX47O/jobs,2.692,https://sumble.com/l/org/qIFROSTDW5KH/people,15.055,https://sumble.com/l/org/abh6pZK3iKiQ/people,9.073,https://sumble.com/l/org/k8p1HB1JTLt/people,4.287,https://sumble.com/l/org/zdYu3vxxBHO/people,4.686,https://sumble.com/l/org/37CWiKLWcPPQ/people,2.797,https://sumble.com/l/org/nNS4zNbH4FcW/teams,2.797,https://sumble.com/l/org/C1fg5RmDRVp0/teams,6.993,https://sumble.com/l/org/9ilAndGOmxuu/teams,0.0,https://sumble.com/l/org/l5DQSyCf8NhE/teams,0.0,https://sumble.com/l/org/tL7wGs4tLQcD/teams,0,0,,,,,,6sense.com,unallocated,0,0,0,0,,,
1394186,7rivers,"7Rivers, Inc.",7riversinc.com,US,Professional Services,40,6,1,1,1,it_services|digital_native|b2b|is_venture_backed|professional_services,1,0,1,0,0.0,https://sumble.com/l/org/OpJPk6k5uQBTD/people,0.0,,5.0,https://sumble.com/l/org/pGoduw5tEX9f8/people,1.5,https://sumble.com/l/org/pGoduw5tEX9f8/trends/job_functions_people,4.0,https://sumble.com/l/org/HWhtexifU0rt/people,3.0,https://sumble.com/l/org/HWhtexifU0rt/trends/job_functions_people,0.0,https://sumble.com/l/org/3MvyLiKLWcvy/people,0.0,,1.0,https://sumble.com/l/org/iDEUlNXki811H/people,0.0,https://sumble.com/l/org/iDEUlNXki811H/trends/job_functions_people,0.0,https://sumble.com/l/org/zRDso3vxxBtKS/teams,0.0,https://sumble.com/l/org/50HeDTpxsaH2X/teams,0.0,https://sumble.com/l/org/nBM1gzNbH4Fqq/teams,0.0,https://sumble.com/l/org/SyK2BYTmV40ZG/teams,0.0,https://sumble.com/l/org/G5mEigAT0ZqWI/teams,0.0,https://sumble.com/l/org/3MvyLiKLWcplU/jobs,0.0,https://sumble.com/l/org/VQGiAaTjy5yX5/jobs,0.0,https://sumble.com/l/org/IbZnFjH5e7fXY/jobs,0.0,https://sumble.com/l/org/wgL7WJJg46KDs/jobs,0.0,https://sumble.com/l/org/OpJPk6k5uQBTD/people,12.5,https://sumble.com/l/org/pGoduw5tEX9f8/people,10.0,https://sumble.com/l/org/HWhtexifU0rt/people,0.0,https://sumble.com/l/org/3MvyLiKLWcvy/people,2.5,https://sumble.com/l/org/iDEUlNXki811H/people,0.0,https://sumble.com/l/org/zRDso3vxxBtKS/teams,0.0,https://sumble.com/l/org/50HeDTpxsaH2X/teams,0.0,https://sumble.com/l/org/nBM1gzNbH4Fqq/teams,0.0,https://sumble.com/l/org/SyK2BYTmV40ZG/teams,0.0,https://sumble.com/l/org/G5mEigAT0ZqWI/teams,11000000,5000000,series_a,2026-02-23,107,,,7riversinc.com,unallocated,0,1,1,2,,,
998226,aampe,Aampe,aampe.com,BE,Information,60,1,1,0,0,digital_native|is_venture_backed|b2b,1,0,1,0,1.0,https://sumble.com/l/org/Cyiuz5RmDRn1K/people,0.0,,10.0,https://sumble.com/l/org/K8DiR0wG2WGjh/people,1.75,https://sumble.com/l/org/K8DiR0wG2WGjh/trends/job_functions_people,4.0,https://sumble.com/l/org/D6SZLv6ePfym/people,3.0,https://sumble.com/l/org/D6SZLv6ePfym/trends/job_functions_people,1.0,https://sumble.com/l/org/wtx1kJJg460G/people,0.0,,3.0,https://sumble.com/l/org/JGFsHb4EWR00A/people,2.0,https://sumble.com/l/org/JGFsHb4EWR00A/trends/job_functions_people,0.0,https://sumble.com/l/org/pQHm0w5tEX4K7/teams,0.0,https://sumble.com/l/org/zrbIw3vxxBtvu/teams,0.0,https://sumble.com/l/org/aZkTKpZK3ib44/teams,0.0,https://sumble.com/l/org/hNpOV9EllDJ6A/teams,0.0,https://sumble.com/l/org/A9ID64ZhJGyre/teams,0.0,https://sumble.com/l/org/wtx1kJJg46KjS/jobs,0.0,https://sumble.com/l/org/yxRzrUM8ANtfW/jobs,0.0,https://sumble.com/l/org/m07hN1erVQTIA/jobs,0.0,https://sumble.com/l/org/0cvNMkkRja4uc/jobs,1.667,https://sumble.com/l/org/Cyiuz5RmDRn1K/people,16.667,https://sumble.com/l/org/K8DiR0wG2WGjh/people,6.667,https://sumble.com/l/org/D6SZLv6ePfym/people,1.667,https://sumble.com/l/org/wtx1kJJg460G/people,5.0,https://sumble.com/l/org/JGFsHb4EWR00A/people,0.0,https://sumble.com/l/org/pQHm0w5tEX4K7/teams,0.0,https://sumble.com/l/org/zrbIw3vxxBtvu/teams,0.0,https://sumble.com/l/org/aZkTKpZK3ib44/teams,0.0,https://sumble.com/l/org/hNpOV9EllDJ6A/teams,0.0,https://sumble.com/l/org/A9ID64ZhJGyre/teams,27300000,18000000,series_a,2024-12-10,547,,,aampe.com,unallocated,0,5,0,0,,,
143787,abacus-ai,Abacus.AI,abacus.ai,US,Professional Services,166,72,4,0,1,is_ai_native|digital_native|is_venture_backed|b2b|professional_services,1,0,1,1,1.0,https://sumble.com/l/org/kbX9HB1JTTzL/people,-0.5,https://sumble.com/l/org/kbX9HB1JTTzL/trends/job_functions_people,26.0,https://sumble.com/l/org/uLlrWVfjQeZx/people,0.182,https://sumble.com/l/org/uLlrWVfjQeZx/trends/job_functions_people,14.0,https://sumble.com/l/org/e9ngVSiKNpZ/people,0.4,https://sumble.com/l/org/e9ngVSiKNpZ/trends/job_functions_people,1.0,https://sumble.com/l/org/LEfKlhY9aBT/people,0.0,,7.0,https://sumble.com/l/org/lfq0SyCf8FFn/people,2.5,https://sumble.com/l/org/lfq0SyCf8FFn/trends/job_functions_people,1.0,https://sumble.com/l/org/ovEULXG0a28S/teams,0.0,https://sumble.com/l/org/DxFav6ePf91r/teams,1.0,https://sumble.com/l/org/gDvyoInkj8JJ/teams,0.0,https://sumble.com/l/org/B0kjRpqxXan0/teams,0.0,https://sumble.com/l/org/i1sqNXki8S2H/teams,0.0,https://sumble.com/l/org/LEfKlhY9acpv/jobs,0.0,https://sumble.com/l/org/Agod4ZhJGyrJ/jobs,0.0,https://sumble.com/l/org/FQt381AWOqPR/jobs,0.0,https://sumble.com/l/org/WlSBP7VyF5a1/jobs,0.602,https://sumble.com/l/org/kbX9HB1JTTzL/people,15.663,https://sumble.com/l/org/uLlrWVfjQeZx/people,8.434,https://sumble.com/l/org/e9ngVSiKNpZ/people,0.602,https://sumble.com/l/org/LEfKlhY9aBT/people,4.217,https://sumble.com/l/org/lfq0SyCf8FFn/people,25.0,https://sumble.com/l/org/ovEULXG0a28S/teams,0.0,https://sumble.com/l/org/DxFav6ePf91r/teams,25.0,https://sumble.com/l/org/gDvyoInkj8JJ/teams,0.0,https://sumble.com/l/org/B0kjRpqxXan0/teams,0.0,https://sumble.com/l/org/i1sqNXki8S2H/teams,0,0,,,,,,abacus.ai,unallocated,0,2,1,4,,,
18090,abnormal-security,Abnormal AI,abnormalsecurity.com,US,Scientific and Technical Services,1410,1404,362,0,0,digital_native|is_venture_backed|b2b,1,0,1,0,37.0,https://sumble.com/l/org/8PybcNanoNT5/people,0.727,https://sumble.com/l/org/8PybcNanoNT5/trends/job_functions_people,415.0,https://sumble.com/l/org/9d8LndGOmeSk/people,0.317,https://sumble.com/l/org/9d8LndGOmeSk/trends/job_functions_people,246.0,https://sumble.com/l/org/wt69JJg46Z2/people,0.25,https://sumble.com/l/org/wt69JJg46Z2/trends/job_functions_people,24.0,https://sumble.com/l/org/CytE5RmDRoU/people,0.643,https://sumble.com/l/org/CytE5RmDRoU/trends/job_functions_people,59.0,https://sumble.com/l/org/5UGfTpxsa44p/people,0.622,https://sumble.com/l/org/5UGfTpxsa44p/trends/job_functions_people,18.0,https://sumble.com/l/org/YsQvCiT3zgyT/teams,14.0,https://sumble.com/l/org/qerxOSTDWzJ2/teams,5.0,https://sumble.com/l/org/S1ZDYTmV40AA/teams,0.0,https://sumble.com/l/org/v2N0EAmtk6Id/teams,0.0,https://sumble.com/l/org/rE91BvswyWzy/teams,0.0,https://sumble.com/l/org/CytE5RmDRVpt/jobs,0.0,https://sumble.com/l/org/PixghErYXZsg/jobs,1.0,https://sumble.com/l/org/4n0QuK5YNckG/jobs,1.0,https://sumble.com/l/org/n7clzNbH4FWx/jobs,2.624,https://sumble.com/l/org/8PybcNanoNT5/people,29.433,https://sumble.com/l/org/9d8LndGOmeSk/people,17.447,https://sumble.com/l/org/wt69JJg46Z2/people,1.702,https://sumble.com/l/org/CytE5RmDRoU/people,4.184,https://sumble.com/l/org/5UGfTpxsa44p/people,4.972,https://sumble.com/l/org/YsQvCiT3zgyT/teams,3.867,https://sumble.com/l/org/qerxOSTDWzJ2/teams,1.381,https://sumble.com/l/org/S1ZDYTmV40AA/teams,0.0,https://sumble.com/l/org/v2N0EAmtk6Id/teams,0.0,https://sumble.com/l/org/rE91BvswyWzy/teams,546000000,250000000,series_d,2024-08-06,673,,,abnormalsecurity.com,allocated,0,0,0,0,,,
6327,absolute,Absolute Security,absolute.com,US,Scientific and Technical Services,1008,506,103,0,0,is_private_equity_owned|b2b|digital_native,1,0,1,0,14.0,https://sumble.com/l/org/0xQGkkRjajQy/people,1.333,https://sumble.com/l/org/0xQGkkRjajQy/trends/job_functions_people,217.0,https://sumble.com/l/org/4PY5uK5YNrG2/people,0.107,https://sumble.com/l/org/4PY5uK5YNrG2/trends/job_functions_people,92.0,https://sumble.com/l/org/ja3NesbEt5r/people,0.165,https://sumble.com/l/org/ja3NesbEt5r/trends/job_functions_people,15.0,https://sumble.com/l/org/oSO2LXG0aeu/people,0.143,https://sumble.com/l/org/oSO2LXG0aeu/trends/job_functions_people,34.0,https://sumble.com/l/org/LY6IlhY9a00n/people,0.231,https://sumble.com/l/org/LY6IlhY9a00n/trends/job_functions_people,9.0,https://sumble.com/l/org/glq6oInkj8Aa/teams,6.0,https://sumble.com/l/org/MEc4DCGSb8Ry/teams,11.0,https://sumble.com/l/org/GLfOgAT0Zqhh/teams,0.0,https://sumble.com/l/org/rMx8BvswyWzf/teams,0.0,https://sumble.com/l/org/3dU0iKLWcp9Q/teams,0.0,https://sumble.com/l/org/oSO2LXG0a2RC/jobs,0.0,https://sumble.com/l/org/culYAGXWujyH/jobs,0.0,https://sumble.com/l/org/xcgLFnWtJoJj/jobs,0.0,https://sumble.com/l/org/uhCTWVfjQRXC/jobs,1.389,https://sumble.com/l/org/0xQGkkRjajQy/people,21.528,https://sumble.com/l/org/4PY5uK5YNrG2/people,9.127,https://sumble.com/l/org/ja3NesbEt5r/people,1.488,https://sumble.com/l/org/oSO2LXG0aeu/people,3.373,https://sumble.com/l/org/LY6IlhY9a00n/people,8.738,https://sumble.com/l/org/glq6oInkj8Aa/teams,5.825,https://sumble.com/l/org/MEc4DCGSb8Ry/teams,10.68,https://sumble.com/l/org/GLfOgAT0Zqhh/teams,0.0,https://sumble.com/l/org/rMx8BvswyWzf/teams,0.0,https://sumble.com/l/org/3dU0iKLWcp9Q/teams,0,0,,,,,,absolute.com,unallocated,0,0,0,0,,,
